,verb,oricat,apos-ppos,apos-pequal,apos-pneg,aequal-ppos,aequal-pequal,aequal-pneg,aneg-ppos,aneg-pequal,aneg-pneg
0,nominate,apos-ppos,appoint,endorse,vote,invite,agree,congratulate,acknowledge,consider,wish
1,purchase,apos-ppos,buy,take,offer,pay,request,require,accept,consider,receive
2,swirl,apos-ppos,twirl,smooth,brush,chill,ooze,shadow,clock,cool,silhouette
3,disperse,apos-ppos,dissipate,soften,emit,accumulate,anger,radiate,cease,observe,fear
4,wind,apos-ppos,rain,wave,weather,project,feel,like,keep,cool,hear
5,suspend,apos-ppos,terminate,continue,enforce,reconsider,notice,defer,cease,intend,defer
6,shape,apos-ppos,fit,frame,outline,size,look,like,keep,face,want
7,term,apos-ppos,present,refer,contract,result,suppose,mind,result,consider,interest
8,park,apos-ppos,walk,near,trip,put,hike,like,trip,view,trip
9,refill,apos-ppos,pack,drip,fill,pocket,count,concentrate,apply,apply,need
10,solicit,apos-ppos,encourage,disclose,collect,communicate,attract,serve,acknowledge,intend,receive
11,pour,apos-ppos,stir,continue,fill,let,tap,serve,keep,cool,need
12,condemn,apos-ppos,denounce,oppose,applaud,disapprove,tolerate,pray,acknowledge,perceive,believe
13,warm,apos-ppos,dry,calm,touch,chill,feel,like,keep,cool,enjoy
14,freeze,apos-ppos,thaw,move,fill,chill,notice,serve,keep,cool,wait
15,tighten,apos-ppos,loosen,stiffen,relieve,put,feel,lose,keep,worry,need
16,rank,apos-ppos,level,earn,honor,pay,count,like,result,mean,value
17,knit,apos-ppos,lace,stitch,bow,size,look,learn,keep,cool,bow
18,unnerve,apos-ppos,terrify,frustrate,aggravate,horrify,endanger,agonize,fascinate,impress,repulse
19,straddle,apos-ppos,strangle,grapple,seat,strangle,intersect,struggle,span,roam,choke
20,trap,apos-ppos,catch,escape,tail,put,found,mind,keep,worry,fear
21,erase,apos-ppos,wipe,recover,trace,put,remember,note,forget,worry,recognize
22,starve,apos-ppos,suffocate,fend,survive,strangle,endanger,lose,cease,survive,suffer
23,question,apos-ppos,issue,think,ask,understand,suppose,answer,know,guess,need
24,regulate,apos-ppos,restrict,stimulate,enforce,examine,tolerate,require,monitor,analyze,recognize
25,tackle,apos-ppos,catch,move,guard,put,concern,struggle,keep,face,need
26,deprive,apos-ppos,undermine,frustrate,offend,entitle,endanger,oblige,cease,intend,constitute
27,crash,apos-ppos,wreck,suspect,chase,result,found,like,fail,encounter,trip
28,dare,apos-ppos,do,say,admit,let,imagine,hope,forget,mean,believe
