,verb,oricat,apos-ppos,apos-pequal,apos-pneg,aequal-ppos,aequal-pequal,aequal-pneg,aneg-ppos,aneg-pequal,aneg-pneg
0,introduce,apos-ppos,acquaint,point,announce,recount,mutter,brief,clock,address,reflect
1,annoy,apos-ppos,irritate,bug,practice,understand,concern,accompany,cease,impress,dread
2,deposit,apos-ppos,wedge,tie,practice,understand,latch,accompany,cease,impress,dread
3,discover,apos-ppos,apply,sight,detect,understand,notice,behold,spot,observe,smell
4,flatten,apos-ppos,change,decorate,mingle,lend,concern,accompany,cease,cool,dread
5,transfix,apos-ppos,arouse,provoke,offend,invite,anger,accompany,cease,impress,interest
6,apply,apos-ppos,employ,devote,practice,understand,concern,accompany,cease,impress,dread
7,ditch,apos-ppos,desert,apply,practice,understand,concern,accompany,cease,impress,dread
8,bruise,apos-ppos,injure,decorate,mingle,lend,concern,accompany,cease,cool,dread
9,paint,apos-ppos,dare,try,pursue,understand,court,marvel,cease,impress,dread
10,spill,apos-ppos,slop,brandish,practice,put,concern,accompany,cease,impress,dread
11,transfer,apos-ppos,assign,elevate,practice,understand,concern,accompany,cease,impress,dread
12,salvage,apos-ppos,save,apply,practice,understand,concern,accompany,cease,impress,dread
13,erode,apos-ppos,dress,narrow,practice,understand,darken,accompany,cease,impress,dread
14,simmer,apos-ppos,dress,narrow,practice,understand,darken,accompany,cease,impress,dread
15,tangle,apos-ppos,permit,back,react,understand,tolerate,marvel,cease,impress,endure
16,disconnect,apos-ppos,undo,narrow,practice,understand,darken,accompany,cease,impress,dread
17,clutter,apos-ppos,change,decorate,fill,lend,concern,accompany,cease,cool,dread
18,finger,apos-ppos,press,stroke,touch,understand,concern,accompany,cease,impress,dread
19,instruct,apos-ppos,teach,preach,announce,recount,mutter,brief,clock,address,reflect
20,rev,apos-ppos,change,decorate,mingle,lend,concern,accompany,cease,cool,dread
21,sprinkle,apos-ppos,disperse,squirt,practice,understand,concern,accompany,cease,impress,dread
22,defend,apos-ppos,counter,argue,practice,curse,concern,answer,cease,reply,dread
23,desert,apos-ppos,ditch,apply,practice,understand,concern,accompany,cease,impress,dread
24,seize,apos-ppos,grab,clutch,practice,understand,concern,accompany,cease,impress,dread
25,stash,apos-ppos,apply,apply,practice,understand,concern,accompany,cease,impress,dread
26,decapitate,apos-ppos,kill,apply,practice,strangle,concern,accompany,cease,impress,dread
27,insert,apos-ppos,attach,embed,practice,understand,latch,accompany,cease,impress,dread
28,reaffirm,apos-ppos,claim,apply,practice,understand,concern,accompany,cease,impress,dread
29,stain,apos-ppos,blacken,narrow,practice,understand,darken,accompany,cease,impress,dread
30,inflict,apos-ppos,dictate,contact,ask,project,mutter,pray,clock,address,pray
31,pledge,apos-ppos,guarantee,promise,contract,curse,concern,answer,cease,reply,dread
32,tighten,apos-ppos,change,decorate,mingle,lend,concern,accompany,cease,cool,dread
33,draghunt,apos-ppos,none,none,none,none,none,none,none,none,none
34,gap,apos-ppos,open,unlock,practice,understand,concern,accompany,cease,impress,dread
35,crackle,apos-ppos,rattle,beep,practice,understand,tick,accompany,cease,impress,dread
36,blacken,apos-ppos,flush,narrow,practice,understand,darken,accompany,cease,impress,dread
37,gather,apos-ppos,muster,apply,practice,understand,concern,accompany,cease,impress,dread
38,free,apos-ppos,loose,apply,practice,understand,concern,accompany,cease,impress,dread
39,reopen,apos-ppos,open,unlock,practice,understand,concern,accompany,cease,impress,dread
40,grab,apos-ppos,seize,clutch,practice,understand,concern,accompany,cease,impress,dread
41,trouble,apos-ppos,zap,disturb,practice,understand,concern,accompany,cease,impress,dread
42,tackle,apos-ppos,dare,try,pursue,understand,court,marvel,cease,face,dread
43,clog,apos-ppos,block,apply,practice,understand,concern,accompany,cease,impress,dread
44,flick,apos-ppos,hurt,apply,practice,understand,concern,accompany,cease,impress,dread
45,ruin,apos-ppos,devastate,wrack,practice,understand,concern,accompany,cease,impress,dread
46,patrol,apos-ppos,diagnose,study,guard,check,compare,accompany,cease,analyze,dread
47,alarm,apos-ppos,scare,provoke,cheer,horrify,animate,accompany,cease,impress,interest
48,loosen,apos-ppos,change,decorate,mingle,lend,concern,accompany,cease,cool,dread
49,recruit,apos-ppos,register,file,compile,record,concern,accompany,haves,impress,dread
50,whirl,apos-ppos,swirl,exit,revolve,understand,concern,revolve,trip,impress,trip
51,swirl,apos-ppos,whirl,exit,revolve,understand,concern,revolve,trip,impress,trip
52,splinter,apos-ppos,divorce,apply,practice,understand,concern,accompany,cease,impress,dread
53,rouse,apos-ppos,apply,apply,practice,understand,concern,accompany,cease,impress,dread
54,pronounce,apos-ppos,apply,apply,practice,understand,concern,accompany,cease,impress,dread
55,share,apos-ppos,threaten,apply,practice,overlap,endanger,accompany,cease,impress,consist
56,organize,apos-ppos,form,assemble,practice,understand,concern,accompany,cease,impress,dread
57,devastate,apos-ppos,ruin,wrack,practice,understand,concern,accompany,cease,impress,dread
58,single,apos-ppos,hit,brandish,practice,put,concern,accompany,cease,impress,dread
59,hunt,apos-ppos,get,recover,practice,access,realise,accompany,inherit,impress,benefit
60,roast,apos-ppos,grill,narrow,practice,understand,darken,accompany,cease,impress,dread
61,quit,apos-ppos,apply,apply,practice,understand,concern,accompany,cease,impress,dread
62,mess,apos-ppos,eat,apply,practice,understand,concern,accompany,cease,impress,dread
63,conquer,apos-ppos,suppress,apply,practice,understand,concern,accompany,gag,impress,dread
64,reject,apos-ppos,disbelieve,anticipate,focus,disapprove,concern,focus,attribute,consider,recognize
65,administer,apos-ppos,oversee,rein,practice,preoccupy,concern,accompany,cease,impress,dread
66,register,apos-ppos,recruit,file,compile,record,concern,accompany,haves,impress,dread
67,select,apos-ppos,choose,sort,vote,understand,concern,accompany,cease,impress,dread
68,nurse,apos-ppos,apply,apply,practice,hyperventilate,concern,accompany,cease,impress,dread
69,shoulder,apos-ppos,lift,hoist,practice,put,hike,accompany,cease,impress,dread
70,saw,apos-ppos,cut,brandish,practice,put,tap,accompany,cease,impress,dread
71,present,apos-ppos,show,apply,practice,display,concern,accompany,cease,impress,dread
72,refuse,apos-ppos,undermine,try,react,understand,court,marvel,cease,impress,dread
73,dare,apos-ppos,engage,try,pursue,understand,court,marvel,cease,impress,dread
74,bellow,apos-ppos,shout,speak,ask,project,mutter,pray,clock,address,pray
75,prohibit,apos-ppos,forbid,page,appeal,communicate,request,accompany,cease,impress,appeal
76,shove,apos-ppos,push,nudge,practice,put,concern,accompany,cease,impress,dread
77,close,apos-ppos,shut,apply,practice,understand,concern,accompany,cease,impress,dread
78,kidnap,apos-ppos,seize,clutch,practice,understand,concern,accompany,cease,impress,dread
79,stun,apos-ppos,restrict,decorate,mingle,lend,concern,accompany,cease,cool,dread
80,avert,apos-ppos,deflect,frustrate,practice,understand,concern,accompany,cease,impress,dread
81,train,apos-ppos,instruct,preach,announce,recount,mutter,brief,clock,address,reflect
82,dress,apos-ppos,don,narrow,practice,understand,darken,accompany,cease,impress,dread
83,manufacture,apos-ppos,fashion,cook,practice,understand,concern,accompany,cease,impress,dread
84,absorb,apos-ppos,boil,narrow,concentrate,understand,darken,concentrate,cease,impress,dread
85,injure,apos-ppos,wound,decorate,mingle,lend,concern,accompany,cease,cool,dread
86,knock,apos-ppos,strike,stroke,touch,understand,concern,accompany,cease,impress,dread
87,rustle,apos-ppos,chug,beep,practice,understand,tick,accompany,cease,impress,dread
88,justify,apos-ppos,reaffirm,apply,practice,warrant,concern,accompany,cease,impress,dread
89,nestle,apos-ppos,cradle,snuggle,nuzzle,grasp,concern,accompany,cease,impress,dread
90,dictate,apos-ppos,prescribe,contact,ask,project,mutter,pray,clock,address,pray
91,trigger,apos-ppos,spark,assemble,undertake,understand,concern,accompany,cease,impress,dread
92,shield,apos-ppos,protect,apply,practice,understand,concern,accompany,cease,impress,dread
93,educate,apos-ppos,groom,decorate,relieve,lend,concern,accompany,cease,cool,dread
94,shuffle,apos-ppos,walk,move,stalk,dog,concern,accompany,cease,roam,follow
95,alert,apos-ppos,warn,point,announce,caution,mutter,brief,clock,address,reflect
96,stop,apos-ppos,apply,apply,practice,understand,concern,accompany,cease,impress,dread
97,burn,apos-ppos,ruin,wrack,practice,understand,concern,accompany,cease,impress,dread
98,blind,apos-ppos,dazzle,apply,practice,understand,concern,accompany,cease,impress,dread
99,impale,apos-ppos,penetrate,apply,practice,understand,concern,accompany,cease,impress,dread
100,muster,apos-ppos,gather,apply,practice,understand,concern,accompany,cease,impress,dread
101,jab,apos-ppos,poke,nudge,practice,put,concern,accompany,cease,impress,dread
102,compose,apos-ppos,apply,apply,practice,understand,concern,accompany,cease,impress,constitute
103,patch,apos-ppos,connect,apply,practice,understand,concern,accompany,cease,impress,dread
104,scrape,apos-ppos,scrub,rub,brush,understand,concern,accompany,cease,impress,dread
105,drape,apos-ppos,arrange,clap,seat,put,concern,accompany,cease,impress,dread
106,wedge,apos-ppos,deposit,tie,practice,understand,latch,accompany,cease,impress,dread
107,backhand,apos-ppos,hit,brandish,practice,put,concern,accompany,cease,impress,dread
108,distract,apos-ppos,unnerve,embarrass,offend,invite,anger,agonize,cease,impress,interest
109,mock,apos-ppos,taunt,contact,ask,project,court,marvel,cease,address,dread
110,exchange,apos-ppos,swap,apply,practice,understand,concern,accompany,cease,impress,dread
111,stabilize,apos-ppos,change,decorate,mingle,lend,concern,accompany,cease,cool,dread
112,propel,apos-ppos,hit,brandish,practice,put,concern,accompany,cease,impress,dread
113,house,apos-ppos,apply,apply,practice,understand,concern,accompany,cease,impress,dread
114,cross,apos-ppos,pass,move,ascend,dog,concern,accompany,cease,roam,follow
115,pick,apos-ppos,select,sort,vote,understand,concern,accompany,cease,impress,dread
116,suspend,apos-ppos,fasten,tie,practice,understand,latch,accompany,cease,impress,dread
117,restore,apos-ppos,renew,fake,practice,understand,concern,accompany,cease,impress,dread
118,involve,apos-ppos,center,center,practice,understand,concern,accompany,cease,impress,dread
119,handcuff,apos-ppos,change,decorate,mingle,lend,concern,accompany,cease,cool,dread
120,award,apos-ppos,distribute,curtain,repay,pay,concern,accompany,cease,impress,dread
